               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.019527,            0.011563,                   0,             0.99913,                   1,               0.995,             0.84611,            0.014645,           0.0043522,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.020521,            0.011146,                   0,             0.99897,                   1,               0.995,             0.85267,            0.014348,            0.004144,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019511,            0.010456,                   0,             0.99952,                   1,               0.995,             0.83501,            0.015117,           0.0043887,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020465,            0.011765,                   0,              0.9985,                   1,               0.995,             0.86132,            0.014524,           0.0040722,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020498,            0.012016,                   0,             0.99928,                   1,               0.995,             0.86639,            0.013993,           0.0040821,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019538,            0.010472,                   0,             0.99936,                   1,               0.995,             0.86391,            0.014411,           0.0041233,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019022,            0.010575,                   0,             0.99932,                   1,               0.995,             0.86711,            0.014083,           0.0041579,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018212,           0.0097119,                   0,             0.99936,                   1,               0.995,             0.86844,            0.014496,           0.0041047,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.017315,             0.01011,                   0,             0.99943,                   1,               0.995,             0.87057,            0.014087,           0.0040187,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018897,            0.010798,                   0,             0.99938,                   1,               0.995,             0.87529,            0.013699,           0.0039467,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.019177,            0.010998,                   0,             0.99939,                   1,               0.995,             0.87418,            0.014262,           0.0040176,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017453,           0.0093159,                   0,             0.99937,                   1,               0.995,             0.87468,            0.013436,           0.0040439,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018027,            0.010869,                   0,             0.99933,                   1,               0.995,             0.87638,            0.013991,           0.0039185,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.017367,            0.010195,                   0,              0.9992,                   1,               0.995,             0.87148,            0.013797,           0.0040017,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.017825,            0.010667,                   0,             0.99926,                   1,               0.995,             0.87493,             0.01331,           0.0038929,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019128,            0.010706,                   0,             0.99926,                   1,               0.995,              0.8738,            0.013553,           0.0039442,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017952,            0.010204,                   0,             0.99901,                   1,               0.995,             0.86708,            0.013808,           0.0041542,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018401,            0.011096,                   0,             0.99922,                   1,               0.995,             0.86859,            0.013701,           0.0039898,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018033,            0.010347,                   0,              0.9993,                   1,               0.995,             0.87645,            0.013381,           0.0039461,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018362,            0.011751,                   0,             0.99936,                   1,               0.995,             0.87304,            0.013482,           0.0039644,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019143,            0.011264,                   0,              0.9993,                   1,               0.995,             0.87673,            0.013342,            0.003889,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017808,            0.010886,                   0,             0.99915,                   1,               0.995,              0.8693,            0.013722,             0.00392,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.017002,           0.0090045,                   0,             0.99881,                   1,               0.995,             0.87827,            0.013248,            0.003855,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01894,            0.012073,                   0,             0.99913,                   1,               0.995,             0.87816,            0.013633,           0.0038261,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018548,            0.010517,                   0,              0.9993,                   1,               0.995,             0.87307,             0.01325,           0.0039724,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01617,           0.0089674,                   0,             0.99933,                   1,               0.995,             0.87056,            0.013553,            0.003791,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.016913,            0.009502,                   0,             0.99917,                   1,               0.995,             0.87826,            0.013444,           0.0039128,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017203,            0.010517,                   0,             0.99869,                   1,               0.995,             0.87502,            0.013622,           0.0039213,                   0,            0.001783,            0.001783,            0.001783
